CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
ASODIRD_S;ASODIRD_S;rsdsdir;;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Direct Downwelling Shortwave Radiation;;surface_direct_downwelling_shortwave_flux_in air;;;
ASODIFU_S;ASODIFU_S;rsus;;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Upwelling Shortwave Radiation;;surface_upwelling_shortwave_flux_in_air;up;atmos;
ATHU_S;ATHU_S;rlus;;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Upwelling Longwave Radiation;;surface_upwelling_longwave_flux_in_air;up;atmos;
ATHB_T;ATHB_T;rlut;;;ModelLevel;-1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;TOA Outgoing Longwave Radiation;;toa_outgoing_longwave_flux;up;atmos;
ASOD_T;ASOD_T;rsdt;;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;TOA Incident Shortwave Radiation;;toa_incoming_shortwave_flux;down;atmos;
ASOU_T;ASOU_T;rsut;ASOD_T - ASOB_T;;ModelLevel;1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;TOA Outgoing Shortwave Radiation;;toa_outgoing_shortwave_flux;up;atmos;
ALHFL_S;ALHFL_S;hfls;;;ModelLevel;-1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Upward Latent Heat Flux;;surface_upward_latent_heat_flux;up;atmos;
ASHFL_S;ASHFL_S;hfss;;;ModelLevel;-1;;mean;mean;mean;;0;W m-2;;24;a;1;;1;;;;;Surface Upward Sensible Heat Flux;;surface_upward_sensible_heat_flux;up;atmos;
W_SO_ICE;W_SO_ICE;mrfso;Sum(W_SO_ICE(1:8));;ModelLevel;1000.0;;point;mean;mean;;8;kg m-2;;4;i;1;;1;;;;;Soil Frozen Water Content;max depth: 3.82 m;soil_frozen_water_content;;land landIce;mean where land
W_SO_ICE;W_SO_ICE;mrfsos;Sum(W_SO_ICE(1:3));;ModelLevel;1000.0;;point;mean;mean;;3;kg m-2;;4;i;1;;1;;;;;Frozen Water Content in Upper Portion of Soil Column;max depth: 0.1m;frozen_water_content_of_soil_layer;;land landIce;mean where land
W_SO_ICE;W_SO_ICE;mrsfl;W_SO_ICE(1:8);;ModelLevel;1000.0;;point;mean;mean;;8;kg m-2;;4;i;1;;1;;;;;Frozen Water Content of Soil Layer;;frozen_water_content_of_soil_layer;;land landIce;mean where land
W_SO;W_SO;mrso;Sum(W_SO(1:8));;ModelLevel;1000.0;;point;mean;mean;;8;kg m-2;;4;i;1;;1;;;;;Total Soil Moisture Content;max depth: 3.82 m;mass_content_of_water_in_soil;;land;mean where land
W_SO;W_SO;mrsos;Sum(W_SO(1:3));;ModelLevel;1000.0;;point;mean;mean;;3;kg m-2;;4;i;1;;1;;;;;Moisture in Upper Portion of Soil Column;max depth: 0.1 m;mass_content_of_water_in_soil_layer;;land;mean where land
