CCLM variable name;CCLM variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor;Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;Additional subdaily frq[1/day];"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
W1000p;W;wa1000;;;PressureLevel;1;;point;mean;mean;mean;100000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W950p;W;wa950;;;PressureLevel;1;;point;mean;mean;mean;95000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W925p;W;wa925;;;PressureLevel;1;;point;mean;mean;mean;92500;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W900p;W;wa900;;;PressureLevel;1;;point;mean;mean;mean;90000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W850p;W;wa850;;;PressureLevel;1;;point;mean;mean;mean;85000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W800p;W;wa800;;;PressureLevel;1;;point;mean;mean;mean;80000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W700p;W;wa700;;;PressureLevel;1;;point;mean;mean;mean;70000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W600p;W;wa600;;;PressureLevel;1;;point;mean;mean;mean;60000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W500p;W;wa500;;;PressureLevel;1;;point;mean;mean;mean;50000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
W400p;W;wa400;;;PressureLevel;1;;point;mean;mean;mean;40000;m s-1;;8;i;1;8;1;m*8;1;s*8;;Upward air velocity;;upward_air_velocity;up;atmos;
