WRF variable name;WRF variable name (in model output file);output variable name;to be derived from;Derotate (CORDEX);Level;Conversion factor 1);Cell Method (additional subdaily,CORDEX);Cell Method (subdaily,CORDEX);Cell Method (daily,CORDEX);Cell Method (monthly,CORDEX);Cell Method (seasonal,CORDEX);Levelvalue (height, plev);units;"Additional subdaily frq
[1/day]";"Subdaily frq
[1/day]";ag;"Daily frq
[1/day]";ag;"Monthly frq
[1/mon]";ag;"Seasonal frq
[1/sem]";ag;fx;long_name;comment;standard_name;direction of positive fluxes;"realm
(not required, however, if included should have the value as in CMIP5)";"cell-method: area
(optional)"
ACSWUPT;ACSWUPT;rsut;;;ModelLevel;;;mean;mean;mean;mean;0;W m-2;;4;a;1;;1;;1;;;TOA Outgoing Shortwave Radiation;;toa_outgoing_shortwave_flux;up;atmos;
U10;U10;uas;;derotate;ModelLevel;;;mean;mean;mean;mean;10;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Near-Surface Wind;;eastward_wind;;atmos;
V10;V10;vas;;derotate;ModelLevel;;;point;mean;mean;mean;10;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Near-Surface Wind;;northward_wind;;atmos;
;;wsgsmax;;;ModelLevel;;;point;mean;mean;mean;10;m s-1;;;;1;;;;;;;Daily Maximum Near-Surface Wind Speed of Gust;;wind_speed_of_gust;;atmos;
;;tauu;;;;;;;maximum;;;;Pa;;4;a;1;;;;;;;Surface Downward Eastward Wind Stress;;surface_downward_eastward_stress;down;atmos;
;;tauv;;;;;;;;;;;Pa;;4;a;1;;;;;;;Surface Downward Northward Wind Stress;;surface_downward_northward_stress;down;atmos;
TSK;TSK;ts;;;ModelLevel;;;;;;;0;K;;4;i;1;4;;;;;;Surface Temperature;;surface_temperature;;atmos;
PBLH;PBLH;zmla;;;ModelLevel;;;point;mean;;;0;m;;4;i;1;4;;;;;;Height of Boundary Layer;;atmosphere_boundary_layer_thickness;;atmos;
;;prw;;;ModelLevel;;;point;mean;;;0;kg m-2;;4;i;1;4;;;;;;Water Vapor Path;;atmosphere_water_vapor_content;;atmos;
;;clwvi;;;ModelLevel;;;point;mean;;;0;kg m-2;;4;i;1;4;;;;;;Condensed Water Path;;atmosphere_cloud_condensed_water_content;;atmos;
;;clivi;;;ModelLevel;;;point;mean;;;0;kg m-2;;4;i;1;4;;;;;;Ice Water Path;;atmosphere_cloud_ice_content;;atmos;
;;ua850;;derotate;PressureLevel;;;point;mean;;;85000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
;;va850;;derotate;PressureLevel;;;point;mean;mean;mean;85000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
;;ta850;;;PressureLevel;;;point;mean;mean;mean;85000;K;;4;i;1;4;1;m*4;1;s*4;;Air Temperature;;air_temperature;;atmos;
;;hus850;;;PressureLevel;;;point;mean;mean;mean;85000;1;;4;i;1;4;1;m*4;1;s*4;;Specific Humidity;;specific_humidity;;atmos;
;;ua500;;derotate;PressureLevel;;;point;mean;mean;mean;50000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Eastward Wind;;eastward_wind;;atmos;
;;va500;;derotate;PressureLevel;;;point;mean;mean;mean;50000;m s-1;;4;i;1;4;1;m*4;1;s*4;;Northward Wind;;northward_wind;;atmos;
